"person_id","name","total_years","seniority_level","skills_detected","skill_count"
"R_1",NA,16,"Lead","java, javascript, go, r, shell scripting, html, html5, css, css3, xml, ajax, rest, soap, angular, angularjs, node, jquery, ember, spring, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, sql, mysql, postgresql, oracle, sql server, mongodb, cassandra, db2, aws, s3, jenkins, git, github, svn, junit, cucumber, mockito, maven, gradle, ant, crystal reports, jasper reports, pentaho, agile, waterfall, soa, linux, unix, windows, solaris, aix, jira, excel, visio, etl, ssis, jersey",65
"R_2",NA,NA,"Unknown","java, python, javascript, c\+\+, scala, groovy, go, r, html, html5, css, css3, xml, json, ajax, rest, soap, angular, angularjs, node, nodejs, express, jquery, ember, dojo, spring, spring boot, spring mvc, spring security, hibernate, struts, jsf, ejb, jsp, servlet, apache camel, sql, mysql, postgresql, oracle, sql server, mongodb, cassandra, redis, db2, aws, google cloud, ec2, s3, lambda, cloud foundry, docker, jenkins, git, github, svn, junit, mockito, maven, gradle, ant, agile, soa, linux, unix, windows, jira, excel, visio, soapui, soap ui, apache cxf, jersey",73
"R_3",NA,16,"Lead","scala, go, r, less, ember, ant, agile, scrum, waterfall, soa, excel, visio",12
"R_4",NA,NA,"Unknown","java, go, r, less, soap, ember, oracle, ant, storm, agile, scrum, kanban, waterfall, tdd, soa, windows, jira, confluence, ms office, excel, visio, soapui, etl, informatica, ssis, data warehouse",26
"R_5",NA,16,"Lead","java, c\+\+, scala, go, r, less, xml, rest, soap, ember, sql, oracle, jenkins, git, github, svn, junit, testng, selenium, maven, ant, storm, crystal reports, agile, scrum, kanban, waterfall, tdd, soa, unix, windows, jira, excel, visio, soapui, ios, etl, ssis, data warehouse, soap ui",40
"R_6",NA,9,"Lead","java, javascript, c#, go, r, html, css, less, xml, json, rest, soap, ember, sql, mysql, oracle, sql server, azure, selenium, ant, hadoop, storm, tableau, cognos, agile, scrum, kanban, waterfall, soa, windows, mac os, jira, confluence, ms office, excel, visio, ios, etl, informatica, ssis, olap, oltp, soap ui",43
"R_7",NA,9,"Lead","java, javascript, c#, go, r, html, css, less, xml, json, rest, soap, ember, sql, mysql, oracle, sql server, azure, selenium, ant, hadoop, storm, tableau, cognos, agile, scrum, kanban, waterfall, soa, windows, mac os, jira, confluence, ms office, excel, visio, ios, etl, informatica, ssis, olap, oltp, soap ui",43
"R_8",NA,8,"Lead","java, python, javascript, scala, groovy, go, ruby, r, shell scripting, html, html5, css, css3, less, xml, json, ajax, rest, soap, react, angular, angularjs, vue, node, nodejs, express, jquery, ember, spring, spring boot, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, apache camel, sql, mysql, postgresql, oracle, sql server, mongodb, db2, aws, ec2, s3, lambda, heroku, docker, jenkins, git, github, svn, junit, selenium, mockito, maven, gradle, ant, agile, waterfall, ci/cd, microservices, soa, rest api, linux, unix, windows, jira, excel, postman, splunk, soap ui, apache cxf, jersey",79
"R_9",NA,16,"Lead","java, javascript, go, perl, r, html, html5, css, less, xml, ajax, rest, soap, angular, express, jquery, ember, jsp, servlet, sql, oracle, sql server, db2, aws, ec2, s3, git, selenium, cucumber, ant, storm, tableau, power bi, cognos, ssrs, agile, scrum, waterfall, soa, windows, jira, confluence, ms office, excel, visio, ios, etl, informatica, ssis, data warehouse, olap, oltp, soap ui",53
"R_10",NA,11,"Lead","scala, go, r, xml, rest, ember, sql, oracle, sql server, teradata, git, ant, storm, agile, scrum, waterfall, jira, confluence, excel, visio, android, ios, ssis, jersey",24
"R_11",NA,12,"Lead","java, go, r, html, xml, ember, sql, oracle, sql server, db2, ant, agile, scrum, waterfall, tdd, windows, ms office, excel, visio, ios, etl, ssis, data warehouse",23
"R_12",NA,17,"Lead","java, javascript, scala, groovy, go, php, r, html, html5, css, css3, less, xml, json, ajax, rest, soap, react, reactjs, angular, angularjs, node, nodejs, express, jquery, backbone, ember, spring, spring boot, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, mybatis, apache camel, sql, mysql, postgresql, oracle, sql server, mongodb, cassandra, redis, db2, aws, ec2, s3, lambda, cloud foundry, heroku, docker, kubernetes, jenkins, bamboo, git, github, svn, clearcase, junit, testng, selenium, jasmine, mockito, karma, maven, gradle, ant, gulp, grunt, npm, pig, kafka, aem, adobe experience manager, agile, scrum, tdd, microservices, soa, linux, windows, jira, visio, postman, soapui, splunk, cordova, ssis, soap ui, mule esb, jersey",96
"R_13",NA,11,"Lead","java, javascript, c\+\+, go, perl, ruby, r, shell scripting, html, html5, css, css3, less, xml, json, ajax, rest, soap, react, angular, angularjs, node, nodejs, express, jquery, ember, spring, spring boot, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, sql, oracle, sql server, mongodb, cassandra, db2, aws, azure, ec2, s3, docker, kubernetes, jenkins, puppet, chef, terraform, bamboo, git, github, svn, clearcase, junit, testng, selenium, jasmine, mockito, karma, maven, gradle, ant, agile, scrum, waterfall, tdd, bdd, microservices, soa, rest api, linux, unix, windows, jira, excel, visio, postman, ssis, soap ui, apache cxf, jersey",86
"R_14",NA,20,"Lead","scala, go, perl, r, html, html5, css, css3, rest, ember, sql, oracle, sql server, s3, ant, ssrs, agile, scrum, waterfall, ms office, excel, visio, ios, ssis, data warehouse, olap, jersey",27
"R_15",NA,16,"Lead","java, javascript, c\+\+, go, r, shell scripting, html, html5, css, css3, less, xml, json, ajax, rest, soap, react, angular, angularjs, node, nodejs, jquery, backbone, ember, extjs, dojo, spring, spring boot, spring mvc, hibernate, struts, jsf, ejb, jsp, servlet, sql, mysql, oracle, sql server, mongodb, elasticsearch, db2, s3, jenkins, git, github, svn, bitbucket, junit, maven, ant, agile, scrum, ci/cd, soa, linux, unix, windows, red hat, solaris, visio, postman, soap ui",63
"R_16",NA,10,"Lead","java, go, r, html, less, xml, rest, ember, sql, mongodb, hbase, db2, s3, svn, ant, hadoop, hive, pig, hbase, agile, scrum, waterfall, linux, windows, excel, visio",26
"R_17",NA,9,"Lead","java, javascript, typescript, c\+\+, scala, groovy, go, php, perl, r, html, html5, css, css3, xml, json, ajax, rest, soap, react, reactjs, angular, angularjs, node, nodejs, express, jquery, ember, spring, spring boot, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, sql, mysql, postgresql, oracle, sql server, elasticsearch, db2, s3, lambda, docker, jenkins, chef, git, github, svn, junit, selenium, mockito, protractor, maven, ant, spark, kafka, agile, scrum, kanban, waterfall, microservices, soa, rest api, linux, unix, windows, centos, jira, excel, postman, apache cxf, jersey",78
"R_18",NA,11,"Lead","java, scala, go, r, rest, ember, ant, agile, scrum, waterfall, jira, confluence, visio, etl",14
"R_19",NA,3,"Mid","java, c\+\+, c#, go, perl, r, html, xml, soap, ember, spring, sql, oracle, sql server, clearcase, ant, ssrs, agile, soa, linux, unix, windows, jira, ms office, excel, visio, ios, etl, ssis",29
"R_20",NA,7,"Senior","java, javascript, scala, go, r, shell scripting, html, html5, css, css3, sass, less, xml, json, ajax, rest, soap, react, angular, angularjs, node, express, jquery, backbone, ember, spring, spring boot, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, apache camel, sql, mysql, postgresql, oracle, sql server, mongodb, cassandra, redis, db2, aws, ec2, s3, docker, jenkins, git, github, svn, junit, selenium, cucumber, jasmine, mockito, protractor, karma, maven, gradle, ant, gulp, grunt, npm, agile, scrum, tdd, soa, rest api, linux, unix, windows, jira, excel, visio, ios, ssis, mule esb, apache cxf, jersey",83
"R_21",NA,16,"Lead","java, javascript, go, r, html, html5, css, css3, xml, ajax, rest, soap, node, ember, sql, mysql, oracle, sql server, s3, ant, tableau, cognos, crystal reports, agile, scrum, kanban, waterfall, soa, windows, mac os, jira, ms office, excel, visio, ios, etl, informatica, ssis, data warehouse, olap, oltp",41
"R_22",NA,16,"Lead","java, python, javascript, c\+\+, c#, scala, go, perl, r, shell scripting, html, css, xml, soap, ember, spring, jsp, servlet, sql, mysql, oracle, sql server, hbase, db2, teradata, aws, azure, s3, jenkins, terraform, git, github, clearcase, junit, maven, yarn, hadoop, spark, hive, pig, kafka, hbase, mapreduce, yarn, sqoop, flume, agile, scrum, kanban, waterfall, tdd, soa, linux, unix, windows, ubuntu, red hat, solaris, jira, confluence, excel, visio, soapui, etl, informatica, ssis",66
